epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8172,1.00831,4.52252,1.13943,0.00135,0.20321,0.06864,0.03026,0.77511,4.43875,0.99296,4.375e-05,4.375e-05,4.375e-05
2,91.6455,0.91122,4.19828,1.05993,0.00296,0.27922,0.12464,0.0788,0.81755,4.37098,0.97571,9.18937e-05,9.18937e-05,9.18937e-05
3,134.305,0.98021,3.6518,1.0627,0.00521,0.37921,0.17053,0.10566,0.79816,4.29813,0.94335,0.000138058,0.000138058,0.000138058
4,177.371,0.88774,3.13594,1.04499,0.00816,0.73786,0.18489,0.12924,0.82772,4.05134,0.92769,0.000182241,0.000182241,0.000182241
5,221.782,0.86073,2.7391,1.0422,0.00768,0.87151,0.43851,0.33686,0.7903,3.85669,0.90871,0.000224445,0.000224445,0.000224445
6,267.435,0.86033,2.44165,1.02762,1,0.05095,0.49237,0.38002,0.77434,3.74899,0.91645,0.000264669,0.000264669,0.000264669
7,311.324,0.86046,2.09054,1.02459,0.97417,0.08681,0.34219,0.2641,0.78801,3.78673,0.94723,0.000302913,0.000302913,0.000302913
8,355.725,0.84961,2.03383,1.02274,1,0.07923,0.40118,0.3219,0.79652,3.68307,0.94157,0.000339176,0.000339176,0.000339176
9,399.14,0.77236,1.81615,0.99557,1,0.09066,0.59791,0.48934,0.76796,3.44185,0.93274,0.00037346,0.00037346,0.00037346
10,441.857,0.76231,1.70639,0.96977,0.91096,0.17319,0.63189,0.49591,0.79575,3.3688,0.95434,0.000405764,0.000405764,0.000405764
11,484.445,0.76915,1.63337,0.98173,0.89948,0.22805,0.63411,0.50594,0.80335,3.19272,0.95801,0.000436088,0.000436088,0.000436088
12,527.199,0.79833,1.67798,1.05617,0.817,0.26966,0.67555,0.54467,0.7825,3.08411,0.96469,0.000464431,0.000464431,0.000464431
13,569.168,0.79623,1.66902,1.00021,0.81392,0.38127,0.70211,0.55396,0.86546,2.92601,1.00294,0.0004765,0.0004765,0.0004765
14,610.713,0.75518,1.55941,0.96788,0.76681,0.55948,0.71109,0.55567,0.88534,2.64989,1.02005,0.000464125,0.000464125,0.000464125
15,652.715,0.77027,1.4123,1.00213,0.74509,0.62716,0.70458,0.57793,0.80239,2.52213,0.97756,0.00045175,0.00045175,0.00045175
16,695.335,0.77953,1.46846,0.98233,0.68601,0.60151,0.69758,0.56101,0.81742,2.40856,0.99538,0.000439375,0.000439375,0.000439375
17,738.49,0.81176,1.44183,0.98683,0.72648,0.64317,0.71721,0.56555,0.84637,2.18664,1.03348,0.000427,0.000427,0.000427
18,781.181,0.73948,1.4307,0.95021,0.65402,0.64641,0.69864,0.54627,0.82613,2.25472,1.0131,0.000414625,0.000414625,0.000414625
19,824.459,0.73765,1.35443,0.97531,0.64294,0.65535,0.67565,0.53952,0.78116,2.1701,0.9866,0.00040225,0.00040225,0.00040225
20,867.265,0.72923,1.32677,0.9607,0.68936,0.66827,0.69357,0.56674,0.7694,2.01061,0.97752,0.000389875,0.000389875,0.000389875
21,910.654,0.73041,1.28427,0.96423,0.69261,0.71152,0.71541,0.58209,0.78557,1.96034,0.99145,0.0003775,0.0003775,0.0003775
22,953.507,0.69894,1.27433,0.96212,0.79767,0.71726,0.74406,0.6085,0.77644,1.93394,0.9903,0.000365125,0.000365125,0.000365125
23,998.035,0.68304,1.21432,0.92705,0.79127,0.71178,0.73572,0.58872,0.75076,1.73507,0.97677,0.00035275,0.00035275,0.00035275
24,1042.35,0.72047,1.27785,0.95391,0.76302,0.72063,0.73377,0.57884,0.75813,1.65053,0.99111,0.000340375,0.000340375,0.000340375
25,1086.24,0.64955,1.19872,0.9267,0.69032,0.74327,0.71887,0.56256,0.75312,1.66697,0.97769,0.000328,0.000328,0.000328
26,1130.49,0.62433,1.10531,0.91153,0.81298,0.68542,0.74007,0.59574,0.73262,1.66039,0.95663,0.000315625,0.000315625,0.000315625
27,1174.4,0.66905,1.10178,0.94811,0.69844,0.81153,0.76437,0.61961,0.7273,1.59731,0.96104,0.00030325,0.00030325,0.00030325
28,1218.72,0.62101,1.07066,0.92767,0.69425,0.77696,0.75117,0.61649,0.73551,1.53921,0.96928,0.000290875,0.000290875,0.000290875
29,1263.15,0.63688,1.05036,0.92095,0.70883,0.78748,0.78481,0.64389,0.7455,1.58551,0.97025,0.0002785,0.0002785,0.0002785
30,1309.65,0.65431,1.10594,0.94013,0.73342,0.78538,0.78143,0.65901,0.74083,1.6372,0.96714,0.000266125,0.000266125,0.000266125
31,1354.42,0.64647,1.09137,0.93742,0.69124,0.78822,0.74327,0.62545,0.72037,1.62928,0.95918,0.00025375,0.00025375,0.00025375
32,1398.48,0.60165,1.05323,0.90732,0.66296,0.80683,0.75508,0.63482,0.71924,1.68454,0.95351,0.000241375,0.000241375,0.000241375
33,1442.97,0.61408,1.11723,0.91417,0.6668,0.7413,0.73999,0.61287,0.74157,1.71142,0.96479,0.000229,0.000229,0.000229
